method,manifest,lm_model_path,beam_width,temperature,alpha,beta,wer,cer
beam_lm_rescore,data/earnings22_test/manifest.csv,lm/financial-3gram.arpa.gz,10,1.0,5.0,0.0,0.528012048192771,0.25021626297577854
beam_lm_rescore,data/earnings22_test/manifest.csv,lm/financial-3gram.arpa.gz,10,1.0,5.0,0.5,0.528012048192771,0.25021626297577854
beam_lm_rescore,data/earnings22_test/manifest.csv,lm/financial-3gram.arpa.gz,10,1.0,5.0,1.0,0.528012048192771,0.25021626297577854
beam_lm_rescore,data/earnings22_test/manifest.csv,lm/financial-3gram.arpa.gz,10,1.0,5.0,1.5,0.5283132530120482,0.25032439446366783
beam_lm_rescore,data/earnings22_test/manifest.csv,lm/financial-3gram.arpa.gz,10,1.0,2.0,0.0,0.5286144578313253,0.2504325259515571
beam_lm_rescore,data/earnings22_test/manifest.csv,lm/financial-3gram.arpa.gz,10,1.0,2.0,0.5,0.5286144578313253,0.2504325259515571
beam_lm_rescore,data/earnings22_test/manifest.csv,lm/financial-3gram.arpa.gz,10,1.0,2.0,1.0,0.5286144578313253,0.2504325259515571
beam_lm_rescore,data/earnings22_test/manifest.csv,lm/financial-3gram.arpa.gz,10,1.0,2.0,1.5,0.5286144578313253,0.2504325259515571
beam_lm_rescore,data/earnings22_test/manifest.csv,lm/financial-3gram.arpa.gz,10,1.0,1.0,1.5,0.5289156626506024,0.25037846020761245
beam_lm_rescore,data/earnings22_test/manifest.csv,lm/financial-3gram.arpa.gz,10,1.0,1.0,1.0,0.5295180722891566,0.25054065743944637
beam_lm_rescore,data/earnings22_test/manifest.csv,lm/financial-3gram.arpa.gz,10,1.0,1.0,0.5,0.5295180722891566,0.250594723183391
beam_lm_rescore,data/earnings22_test/manifest.csv,lm/financial-3gram.arpa.gz,10,1.0,1.0,0.0,0.5298192771084337,0.25064878892733566
beam_lm_rescore,data/earnings22_test/manifest.csv,lm/financial-3gram.arpa.gz,10,1.0,0.5,1.5,0.5301204819277109,0.2507569204152249
beam_lm_rescore,data/earnings22_test/manifest.csv,lm/financial-3gram.arpa.gz,10,1.0,0.5,1.0,0.530421686746988,0.2508109861591695
beam_lm_rescore,data/earnings22_test/manifest.csv,lm/financial-3gram.arpa.gz,10,1.0,0.5,0.5,0.5307228915662651,0.2510272491349481
beam_lm_rescore,data/earnings22_test/manifest.csv,lm/financial-3gram.arpa.gz,10,1.0,0.5,0.0,0.5310240963855422,0.25113538062283736
beam_lm_rescore,data/earnings22_test/manifest.csv,lm/financial-3gram.arpa.gz,10,1.0,0.1,0.0,0.5370481927710843,0.25200043252595156
beam_lm_rescore,data/earnings22_test/manifest.csv,lm/financial-3gram.arpa.gz,10,1.0,0.1,0.5,0.5388554216867469,0.2521626297577855
beam_lm_rescore,data/earnings22_test/manifest.csv,lm/financial-3gram.arpa.gz,10,1.0,0.05,0.0,0.5391566265060241,0.25243295847750863
beam_lm_rescore,data/earnings22_test/manifest.csv,lm/financial-3gram.arpa.gz,10,1.0,0.1,1.0,0.5403614457831325,0.25210856401384085
beam_lm_rescore,data/earnings22_test/manifest.csv,lm/financial-3gram.arpa.gz,10,1.0,0.05,0.5,0.5421686746987951,0.2526492214532872
beam_lm_rescore,data/earnings22_test/manifest.csv,lm/financial-3gram.arpa.gz,10,1.0,0.1,1.5,0.5454819277108434,0.2526492214532872
beam_lm_rescore,data/earnings22_test/manifest.csv,lm/financial-3gram.arpa.gz,10,1.0,0.05,1.0,0.5457831325301205,0.2530276816608997
beam_lm_rescore,data/earnings22_test/manifest.csv,lm/financial-3gram.arpa.gz,10,1.0,0.01,0.0,0.5457831325301205,0.25346020761245674
beam_lm_rescore,data/earnings22_test/manifest.csv,lm/financial-3gram.arpa.gz,10,1.0,0.05,1.5,0.547289156626506,0.25286548442906576
beam_lm_rescore,data/earnings22_test/manifest.csv,lm/financial-3gram.arpa.gz,10,1.0,0.01,0.5,0.5481927710843374,0.2538386678200692
beam_lm_rescore,data/earnings22_test/manifest.csv,lm/financial-3gram.arpa.gz,10,1.0,0.01,1.0,0.55,0.25356833910034604
beam_lm_rescore,data/earnings22_test/manifest.csv,lm/financial-3gram.arpa.gz,10,1.0,0.01,1.5,0.5518072289156627,0.25362240484429066
