path,reference,beam,candidate,baseline_wer,candidate_wer,status
data/librispeech_test_other/sample_67.wav,it was your turn yesterday it's mine to day what a game,it was your turn yesterday it's mine today what a game,it was your turn yesterday it's mine to day what a game,0.16666666666666666,0.0,improved
data/librispeech_test_other/sample_33.wav,and why did andy call mister gurr father,and why did andy call mister gurfather,and why did andy call mister gur father,0.25,0.125,improved
data/librispeech_test_other/sample_105.wav,pipe away the men to that boat there he said and as the crew sprang in,pip away the men to that boat there he said and as the crewsprang in,pip away the men to that boat there he said and as the crew sprang in,0.1875,0.0625,improved
data/librispeech_test_other/sample_24.wav,a fellow who was shut up in prison for life might do it he said but not in a case like this,a fellow who as shut up in prison for life might doit he said but not in a case like this,a fellow who as shut up in prison for life might do it he said but not in a case like this,0.13636363636363635,0.045454545454545456,improved
data/librispeech_test_other/sample_112.wav,gurr glanced round to see if the men were looking and then said rather huskily but kindly,gur glanced round to see if the men were looking and then said lether huskily bekindly,gur glanced round to see if the men were looking and then said lether huskily be kindly,0.23529411764705882,0.17647058823529413,improved
data/librispeech_test_other/sample_175.wav,presently my friends came to me and i distributed presents among my family and gave alms and largesse after which i yielded myself to joyance and enjoyment mirth and merry making and forgot all that i had suffered,presently my friends came to me and i distributed presence among my family and gave arms and larjes after which i yielded myself to joyance and enjoyment mirth and merrymaking and forgot all that i had suffered,presently my friends came to me and i distributed presence among my family and gave arms and larjes after which i yielded myself to joyance and enjoyment mirth and merry making and forgot all that i had suffered,0.13157894736842105,0.07894736842105263,improved
data/librispeech_test_other/sample_28.wav,stop here till sir risdon comes down and tell him i'm very sorry that we should have cleared out last night only a born fool saw jerry nandy's lobster boat coming into the cove and came running to say it was a party from the cutter yes father,stop here till sir rysdon comes down and tell him i'm very sorry that we shoul have cleared out last night only a born fool saw jerry nandy's lobsterboat coming into the cove and came running to say it was a party from the cutter yes father,stop here till sir rysdon comes down and tell him i'm very sorry that we shoul have cleared out last night only a born fool saw jerry nandy's lobster boat coming into the cove and came running to say it was a party from the cutter yes father,0.08333333333333333,0.041666666666666664,improved
data/librispeech_test_other/sample_103.wav,he swung round walked aft and began sweeping the shore again with his glass while the master and dick exchanged glances which meant a great deal,he swung round walked aff and began sweeping the shore again with his glass while the master and dick exchanged glances which met agree deal,he swung round walked aff and began sweeping the shore again with his glass while the master and dick exchanged glances which met a gree deal,0.15384615384615385,0.11538461538461539,improved
data/librispeech_test_other/sample_153.wav,each that died we washed and shrouded in some of the clothes and linen cast ashore by the tides and after a little the rest of my fellows perished one by one till i had buried the last of the party and abode alone on the island with but a little provision left i who was wont to have so much,each that died we washed and shrowded in some of the clothes and linen cast a shore by the tides and after little the rest of my fellows perished one by one till i had buried the last of the party and aboade alone on the island with but a little provision left i who was wont to have so much,each that died we washed and shrowded in some of the clothes and linen cast a shore by the tides and after a little the rest of my fellows perished one by one till i had buried the last of the party and aboade alone on the island with but a little provision left i who was wont to have so much,0.08196721311475409,0.06557377049180328,improved
data/librispeech_test_other/sample_14.wav,the kick he had received was a foretaste of what he might expect and after a little consideration he came to the conclusion that his duty was to escape and get back to the cutter as quickly as he could,the kickhe had received was a foretaste of what he might expect and after a little consideration he came to the conclusion that his duty was to escape and get back to the cutter as quickly as he could,the kick he had received was a fore taste of what he might expect and after a little consideration he came to the conclusion that his duty was to escape and get back to the cutter as quickly as he could,0.05,0.05,changed_same_wer
